variant,block,acceptance,rejected
Pro rata only,DAM_BLOCK_DKL_ICE_H_13,1.0,False
Pro rata only,DAM_BLOCK_DKL_ICE_H_25,1.0,False
Pro rata only,DAM_BLOCK_DKL_ICE_H_37,1.0,False
Pro rata only,DAM_BLOCK_DKL_ST_H_1,0.0,False
Pro rata only,DAM_BLOCK_DKL_ST_H_13,0.0,False
Pro rata only,DAM_BLOCK_DKL_ST_H_25,0.0,False
Pro rata only,DAM_BLOCK_DKL_ST_H_37,0.0,False
Pro rata only,DAM_BLOCK_VAS_CCGT_D_1,0.0,False
Pro rata only,DAM_BLOCK_VAS_CCGT_D_13,0.0,False
Pro rata only,DAM_BLOCK_VAS_CCGT_D_25,0.0,False
Pro rata only,DAM_BLOCK_VAS_CCGT_D_37,0.0,False
Pro rata only,DAM_BLOCK_VAS_GT_D_1,0.0,False
Pro rata only,DAM_BLOCK_VAS_GT_D_13,0.0,False
Pro rata only,DAM_BLOCK_VAS_GT_D_25,0.0,False
Pro rata only,DAM_BLOCK_VAS_GT_D_37,0.0,False
Pro rata only,DAM_BLOCK_VAS_ST_H_1,1.0,False
Pro rata only,DAM_BLOCK_VAS_ST_H_13,0.0,False
Pro rata only,DAM_BLOCK_VAS_ST_H_25,0.0,True
Pro rata only,DAM_BLOCK_VAS_ST_H_37,1.0,False
